,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
1,0.7079643726348877,0.014395560071073132,0.03641519546508789,0.0013294008710323746,600,9,3,sqrt,1,True,"{'n_estimators': np.int64(600), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(3), 'max_features': 'sqrt', 'max_depth': np.int64(1), 'bootstrap': True}",0.9367537313432835,0.9083022388059702,0.9319029850746269,0.8940329218106995,0.881439393939394,0.9104862541947949,0.021297224597503113,65
5,0.5723820686340332,0.015030504163243663,0.03304452896118164,0.0005299847861298398,500,9,1,log2,4,False,"{'n_estimators': np.int64(500), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(1), 'max_features': 'log2', 'max_depth': np.int64(4), 'bootstrap': False}",0.951865671641791,0.9294776119402985,0.9255597014925373,0.9130190796857464,0.905871212121212,0.925158655376317,0.015820579678754994,14
6,1.4521334171295166,0.3719759391469958,0.06980729103088379,0.01909949432189533,900,9,9,log2,12,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(9), 'max_features': 'log2', 'max_depth': np.int64(12), 'bootstrap': False}",0.9542910447761195,0.9320895522388061,0.9218283582089553,0.9111485222596334,0.9049242424242424,0.9248563439815515,0.017395876863489094,23
9,0.1350478172302246,0.00878952319199027,0.009678888320922851,0.00013340446509842424,100,7,7,sqrt,16,False,"{'n_estimators': np.int64(100), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(7), 'max_features': 'sqrt', 'max_depth': np.int64(16), 'bootstrap': False}",0.9602611940298508,0.9333955223880597,0.9210820895522388,0.9072203516647961,0.9083333333333332,0.9260584981936557,0.019583044724594333,4
10,0.4576470375061035,0.007941190237932947,0.023416948318481446,0.00029411242475059236,300,4,1,sqrt,15,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(1), 'max_features': 'sqrt', 'max_depth': np.int64(15), 'bootstrap': False}",0.9494402985074627,0.9251865671641791,0.9149253731343284,0.9098391320613542,0.896780303030303,0.9192343347795255,0.017657009041538045,57
11,0.5893689632415772,0.010172742991493351,0.03147273063659668,0.00178076126912671,500,7,2,sqrt,1,True,"{'n_estimators': np.int64(500), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(2), 'max_features': 'sqrt', 'max_depth': np.int64(1), 'bootstrap': True}",0.9358208955223881,0.9094216417910447,0.9327425373134329,0.8948746726524504,0.8810606060606061,0.9107840706679845,0.02120125638794471,63
12,0.7138648986816406,0.19521755821777262,0.04063401222229004,0.009073161169429042,300,7,2,log2,12,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(2), 'max_features': 'log2', 'max_depth': np.int64(12), 'bootstrap': False}",0.9529850746268657,0.9315298507462686,0.9194029850746268,0.9070332959221847,0.899810606060606,0.9221523624861103,0.018835566113689486,48
13,0.16316280364990235,0.02999207478606205,0.009880685806274414,0.00016498004760468417,100,5,2,sqrt,14,False,"{'n_estimators': np.int64(100), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(2), 'max_features': 'sqrt', 'max_depth': np.int64(14), 'bootstrap': False}",0.9477611940298508,0.9277985074626864,0.9177238805970149,0.9105873550317994,0.8950757575757575,0.9197893389394218,0.01758564862296996,52
14,1.3006710529327392,0.012075235736742889,0.06400394439697266,0.0020725583887038893,900,7,2,sqrt,15,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(2), 'max_features': 'sqrt', 'max_depth': np.int64(15), 'bootstrap': False}",0.9527985074626866,0.9285447761194029,0.9203358208955223,0.9074074074074074,0.9001893939393939,0.9218551811648826,0.018344988859649698,50
15,0.25461616516113283,0.011382563121445123,0.019770479202270506,0.00574757350948918,200,2,9,log2,16,False,"{'n_estimators': np.int64(200), 'min_samples_split': np.int64(2), 'min_samples_leaf': np.int64(9), 'max_features': 'log2', 'max_depth': np.int64(16), 'bootstrap': False}",0.9563432835820895,0.9326492537313433,0.9216417910447762,0.9139543583988028,0.9039772727272727,0.925713191896857,0.017964454473752094,8
16,0.338673734664917,0.11883679574997956,0.020568466186523436,0.007133616758577849,200,8,2,log2,3,True,"{'n_estimators': np.int64(200), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(2), 'max_features': 'log2', 'max_depth': np.int64(3), 'bootstrap': True}",0.9492537313432836,0.9274253731343284,0.9294776119402985,0.9098391320613542,0.8988636363636364,0.9229718969685802,0.017358400495758926,45
17,0.8866493701934814,0.29401142027509486,0.04279036521911621,0.01494247545512645,500,9,8,sqrt,9,False,"{'n_estimators': np.int64(500), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(8), 'max_features': 'sqrt', 'max_depth': np.int64(9), 'bootstrap': False}",0.955223880597015,0.9317164179104478,0.923134328358209,0.9122708567153012,0.903219696969697,0.9251130361101338,0.017879724615377266,16
18,0.3050830364227295,0.010222206177442843,0.017009639739990236,0.0010924353510041063,200,6,3,log2,15,True,"{'n_estimators': np.int64(200), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(3), 'max_features': 'log2', 'max_depth': np.int64(15), 'bootstrap': True}",0.9537313432835821,0.9311567164179104,0.9208955223880596,0.9118967452300786,0.8988636363636363,0.9233087927366533,0.018551257963039854,40
21,1.5420226573944091,0.3908142944662833,0.07445487976074219,0.019182296353894793,900,9,4,sqrt,10,True,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(4), 'max_features': 'sqrt', 'max_depth': np.int64(10), 'bootstrap': True}",0.955410447761194,0.9335820895522389,0.9207089552238805,0.9118967452300785,0.9028409090909091,0.9248878293716603,0.01832767494049987,22
22,0.4878537178039551,0.16436730337929922,0.024567699432373045,0.006950520513400526,300,3,3,sqrt,2,True,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(3), 'min_samples_leaf': np.int64(3), 'max_features': 'sqrt', 'max_depth': np.int64(2), 'bootstrap': True}",0.9451492537313433,0.9190298507462688,0.9313432835820896,0.9049756827534604,0.8946969696969697,0.9190390081020263,0.018019168456632994,59
