,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
1,0.6996238708496094,0.012035409011225533,0.03915271759033203,0.004860983999999965,600,9,3,sqrt,1,True,"{'n_estimators': np.int64(600), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(3), 'max_features': 'sqrt', 'max_depth': np.int64(1), 'bootstrap': True}",0.9363805970149254,0.9083022388059702,0.9319029850746269,0.8940329218106995,0.881439393939394,0.9104116273291233,0.021205507144499647,65
5,0.8665955066680908,0.2695388285356726,0.04886298179626465,0.013131818241563238,500,9,1,log2,4,False,"{'n_estimators': np.int64(500), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(1), 'max_features': 'log2', 'max_depth': np.int64(4), 'bootstrap': False}",0.9514925373134329,0.9294776119402985,0.925186567164179,0.9145155256266367,0.906060606060606,0.9253465696210306,0.015427006465704513,16
6,1.1611923694610595,0.02402773562680087,0.06057753562927246,0.001332408841744614,900,9,9,log2,12,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(9), 'max_features': 'log2', 'max_depth': np.int64(12), 'bootstrap': False}",0.9542910447761194,0.932089552238806,0.9220149253731342,0.910961466517022,0.9051136363636363,0.9248941250537437,0.017376015418159047,22
9,0.13538317680358886,0.00987640787147189,0.010193777084350587,0.0005715625140777579,100,7,7,sqrt,16,False,"{'n_estimators': np.int64(100), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(7), 'max_features': 'sqrt', 'max_depth': np.int64(16), 'bootstrap': False}",0.9598880597014926,0.9347014925373134,0.9207089552238805,0.9075944631500187,0.9087121212121212,0.9263210183649653,0.019438266349131723,4
10,0.5487828731536866,0.1887476500612618,0.03313002586364746,0.010356970421078603,300,4,1,sqrt,15,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(4), 'min_samples_leaf': np.int64(1), 'max_features': 'sqrt', 'max_depth': np.int64(15), 'bootstrap': False}",0.9486007462686568,0.9249999999999999,0.9138059701492537,0.9139543583988028,0.897159090909091,0.9197040331451609,0.016965775086859425,55
11,0.810953950881958,0.27705315066118436,0.038556385040283206,0.01343121674762908,500,7,2,sqrt,1,True,"{'n_estimators': np.int64(500), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(2), 'max_features': 'sqrt', 'max_depth': np.int64(1), 'bootstrap': True}",0.9356343283582089,0.9094216417910447,0.9327425373134329,0.8948746726524504,0.881060606060606,0.9107467572351486,0.021157278223608838,63
12,0.43392095565795896,0.005801684208779518,0.023145580291748048,0.00043504847988320164,300,7,2,log2,12,False,"{'n_estimators': np.int64(300), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(2), 'max_features': 'log2', 'max_depth': np.int64(12), 'bootstrap': False}",0.951865671641791,0.9328358208955224,0.919776119402985,0.9113355780022446,0.899810606060606,0.9231247592006298,0.01796715161427496,45
13,0.14870090484619142,0.0070675482323870956,0.009873342514038087,0.00023804589707708443,100,5,2,sqrt,14,False,"{'n_estimators': np.int64(100), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(2), 'max_features': 'sqrt', 'max_depth': np.int64(14), 'bootstrap': False}",0.9490671641791045,0.9281716417910448,0.9190298507462686,0.9141414141414141,0.8952651515151515,0.9211350444745967,0.017619938028182472,52
14,1.5888123035430908,0.38677289981445495,0.08168683052062989,0.03688254268279971,900,7,2,sqrt,15,False,"{'n_estimators': np.int64(900), 'min_samples_split': np.int64(7), 'min_samples_leaf': np.int64(2), 'max_features': 'sqrt', 'max_depth': np.int64(15), 'bootstrap': False}",0.9516791044776118,0.9298507462686567,0.919776119402985,0.9124579124579124,0.9005681818181819,0.9228664128850695,0.01728612167769223,48
15,0.2507739543914795,0.004983429694764496,0.019115209579467773,0.006601433459063951,200,2,9,log2,16,False,"{'n_estimators': np.int64(200), 'min_samples_split': np.int64(2), 'min_samples_leaf': np.int64(9), 'max_features': 'log2', 'max_depth': np.int64(16), 'bootstrap': False}",0.9559701492537314,0.9328358208955224,0.9214552238805971,0.9145155256266367,0.9037878787878787,0.9257129196888731,0.017835092870132827,7
16,0.2564718246459961,0.012158149192139693,0.014745950698852539,0.00019529081062124502,200,8,2,log2,3,True,"{'n_estimators': np.int64(200), 'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(2), 'max_features': 'log2', 'max_depth': np.int64(3), 'bootstrap': True}",0.9490671641791045,0.9274253731343284,0.9294776119402985,0.9100261878039655,0.8988636363636364,0.9229719946842667,0.01727379728469525,46
17,0.657662296295166,0.025400458284320485,0.034741973876953124,0.00021232464781657088,500,9,8,sqrt,9,False,"{'n_estimators': np.int64(500), 'min_samples_split': np.int64(9), 'min_samples_leaf': np.int64(8), 'max_features': 'sqrt', 'max_depth': np.int64(9), 'bootstrap': False}",0.9546641791044777,0.9317164179104478,0.9229477611940299,0.9124579124579124,0.903030303030303,0.9249633147394342,0.01771581379118121,20
18,0.30499773025512694,0.011194176820620457,0.01601409912109375,0.0001748023497710535,200,6,3,log2,15,True,"{'n_estimators': np.int64(200), 'min_samples_split': np.int64(6), 'min_samples_leaf': np.int64(3), 'max_features': 'log2', 'max_depth': np.int64(15), 'bootstrap': True}",0.9529850746268657,0.9332089552238806,0.9210820895522388,0.9122708567153012,0.8984848484848484,0.9236063649206269,0.018554108035565245,41
