model,acc,auc,f1,train_time,test_time,normalisation
LogisticRegression,0.8478260869565217,0.9069061779342152,0.8627450980392157,445.96123695373535,0.0,without
SVC,0.6847826086956522,0.751911639762107,0.7128712871287128,116.63508415222168,37.28604316711426,without
DecisionTreeClassifier,0.8043478260869565,0.8135696079621313,0.8181818181818182,14.84370231628418,0.0,without
RandomForestClassifier,0.8967391304347826,0.9402233280737954,0.9090909090909091,197.1874237060547,16.587495803833008,without
GradientBoostingClassifier,0.8695652173913043,0.9391916494720233,0.8846153846153846,185.9903335571289,14.971017837524414,without
HistGradientBoostingClassifier,0.8532608695652174,0.9327588299550917,0.8669950738916257,397.2766399383545,16.50524139404297,without
BaggingClassifier,0.8206521739130435,0.9290569243840272,0.8341708542713567,33.281803131103516,22.65763282775879,without
AdaBoostClassifier,0.8369565217391305,0.9064206821216167,0.8529411764705882,110.63385009765625,16.495466232299805,without
XGBClassifier,0.8804347826086957,0.9425901201602136,0.8921568627450981,100.49843788146973,0.0,without
KNeighborsClassifier,0.6521739130434783,0.6889792450540114,0.6923076923076923,0.0,31.248092651367188,without
MLPClassifier,0.5652173913043478,0.6239834931423716,0.43661971830985913,1329.5316696166992,4.783391952514648,without
GaussianNB,0.8369565217391305,0.9087267872314602,0.8529411764705882,35.75325012207031,6.333589553833008,without
LogisticRegression,0.8478260869565217,0.9090909090909091,0.8613861386138614,33.84971618652344,5.369901657104492,minmax
SVC,0.8369565217391305,0.9056924384027187,0.8598130841121495,141.23034477233887,34.76715087890625,minmax
DecisionTreeClassifier,0.8152173913043478,0.8229154023546547,0.83,7.975339889526367,3.957509994506836,minmax
RandomForestClassifier,0.8967391304347826,0.9402840150503702,0.9090909090909091,509.82117652893066,34.2710018157959,minmax
GradientBoostingClassifier,0.8695652173913043,0.9384634057531254,0.8846153846153846,308.11429023742676,16.756057739257812,minmax
HistGradientBoostingClassifier,0.8532608695652174,0.9327588299550917,0.8669950738916257,494.39024925231934,11.54780387878418,minmax
BaggingClassifier,0.8206521739130435,0.9288748634543027,0.8341708542713567,75.48069953918457,7.978916168212891,minmax
AdaBoostClassifier,0.8369565217391305,0.9064206821216167,0.8529411764705882,159.12604331970215,37.85300254821777,minmax
XGBClassifier,0.8804347826086957,0.9425901201602136,0.8921568627450981,132.91335105895996,0.0,minmax
KNeighborsClassifier,0.8315217391304348,0.8749848282558563,0.8472906403940886,10.994195938110352,37.686824798583984,minmax
MLPClassifier,0.8369565217391305,0.8979245054011409,0.8529411764705882,721.6885089874268,16.544580459594727,minmax
GaussianNB,0.8369565217391305,0.9087267872314602,0.8529411764705882,0.0,0.0,minmax
LogisticRegression,0.8478260869565217,0.9078771695594127,0.8627450980392157,20.26534080505371,12.964963912963867,standard
SVC,0.875,0.9440466075980095,0.8930232558139535,114.82715606689453,16.19720458984375,standard
DecisionTreeClassifier,0.8152173913043478,0.8229154023546547,0.83,0.8957386016845703,0.0,standard
RandomForestClassifier,0.8967391304347826,0.9407088238863939,0.9090909090909091,329.0855884552002,49.89433288574219,standard
GradientBoostingClassifier,0.8695652173913043,0.9383420317999758,0.8846153846153846,265.7885551452637,0.0,standard
HistGradientBoostingClassifier,0.8532608695652174,0.9327588299550917,0.8669950738916257,442.1098232269287,16.11185073852539,standard
BaggingClassifier,0.8152173913043478,0.9278431848525306,0.8282828282828283,78.90200614929199,14.234781265258789,standard
AdaBoostClassifier,0.8369565217391305,0.9064206821216167,0.8529411764705882,225.49986839294434,65.42301177978516,standard
XGBClassifier,0.8804347826086957,0.9425901201602136,0.8921568627450981,175.22764205932617,13.157367706298828,standard
KNeighborsClassifier,0.8315217391304348,0.89300886029858,0.8530805687203792,10.139703750610352,37.30916976928711,standard
MLPClassifier,0.842391304347826,0.9313023425172957,0.8571428571428571,1293.6065196990967,0.0,standard
GaussianNB,0.8369565217391305,0.9087267872314602,0.8529411764705882,0.0,0.0,standard
