model,accuracy,auc,f1_score,cm,training_time(ms),testing_time(ms),criterion,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_iter_no_change,random_state,subsample,tol,validation_fraction
gbc,0.8695652173913043,0.8714649836145163,0.8846153846153846,"[[68  9]
 [15 92]]",223.45995903015137,15.623807907104492,friedman_mse,0.1,log_loss,3,,,0.0,1,2,0.0,100,,0,1.0,0.0001,0.1
gbc,0.8804347826086957,0.8789901687097949,0.8962264150943396,"[[67 10]
 [12 95]]",90.15679359436035,0.0,squared_error,0.1,log_loss,3,,,0.0,1,2,0.0,100,5.0,0,1.0,0.0001,0.1
gbc,0.875,0.8724966622162884,0.892018779342723,"[[66 11]
 [12 95]]",238.48319053649902,0.0,squared_error,0.01,log_loss,3,,,0.0,1,2,0.0,100,5.0,0,1.0,0.0001,0.1
gbc,0.8804347826086957,0.8771695594125501,0.897196261682243,"[[66 11]
 [11 96]]",568.6631202697754,0.0,squared_error,0.01,log_loss,3,,,0.0,1,2,0.0,200,5.0,0,1.0,0.0001,0.1
gbc,0.8804347826086957,0.8771695594125501,0.897196261682243,"[[66 11]
 [11 96]]",530.4896831512451,0.0,squared_error,0.01,log_loss,3,,,0.0,1,2,0.0,220,5.0,0,1.0,0.0001,0.1
gbc,0.8804347826086957,0.8771695594125501,0.897196261682243,"[[66 11]
 [11 96]]",444.5958137512207,0.0,squared_error,0.01,log_loss,3,,,0.0,1,2,0.0,230,5.0,0,1.0,0.0001,0.1
gbc,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",848.2606410980225,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,230,5.0,0,1.0,0.0001,0.1
gbc,0.8641304347826086,0.8649714771210099,0.8803827751196173,"[[67 10]
 [15 92]]",1381.6649913787842,0.0,squared_error,0.01,log_loss,10,,,0.0,1,2,0.0,230,5.0,0,1.0,0.0001,0.1
gbc,0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",838.8733863830566,1.9915103912353516,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,230,5.0,0,1.0,0.0001,0.1
gbc,0.875,0.876137880810778,0.8899521531100478,"[[68  9]
 [14 93]]",776.4778137207031,0.0,squared_error,0.01,log_loss,5,sqrt,,0.0,1,2,0.0,230,5.0,0,1.0,0.0001,0.1
gbc,0.875,0.876137880810778,0.8899521531100478,"[[68  9]
 [14 93]]",628.9536952972412,0.0,squared_error,0.01,log_loss,5,log2,,0.0,1,2,0.0,230,5.0,0,1.0,0.0001,0.1
gbc,0.875,0.8743172715135331,0.8909952606635071,"[[67 10]
 [13 94]]",829.2336463928223,16.322851181030273,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,230,5.0,0,0.6,0.0001,0.1
gbc,0.875,0.8743172715135331,0.8909952606635071,"[[67 10]
 [13 94]]",796.3485717773438,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,230,5.0,0,0.8,0.0001,0.1
gbc,0.5815217391304348,0.5,0.7353951890034365,"[[  0  77]
 [  0 107]]",40.071725845336914,0.0,squared_error,0.01,log_loss,5,,,0.1,1,2,0.0,230,5.0,0,0.8,0.0001,0.1
gbc,0.875,0.8743172715135331,0.8909952606635071,"[[67 10]
 [13 94]]",782.7723026275635,0.0,squared_error,0.01,log_loss,5,,,0.0,1,2,0.0,230,5.0,0,0.8,0.0001,0.1
gbc,0.8858695652173914,0.8854836752033014,0.9004739336492891,"[[68  9]
 [12 95]]",755.3806304931641,0.0,squared_error,0.01,exponential,5,,,0.0,1,2,0.0,230,5.0,0,0.8,0.0001,0.1
