model,accuracy,auc,f1_score,cm,training_time(ms),testing_time(ms),bootstrap,class_weight,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,random_state
rfc,0.8967391304347826,0.8984706881903143,0.9090909090909091,"[[70  7]
 [12 95]]",273.606538772583,16.768932342529297,True,,gini,,sqrt,1,2,100,0
rfc,0.8858695652173914,0.8873042845005461,0.8995215311004785,"[[69  8]
 [13 94]]",245.99194526672363,16.894102096557617,False,,gini,,sqrt,1,2,100,0
rfc,0.8858695652173914,0.8873042845005461,0.8995215311004785,"[[69  8]
 [13 94]]",267.6417827606201,3.940105438232422,True,,entropy,,sqrt,1,2,100,0
rfc,0.8858695652173914,0.8873042845005461,0.8995215311004785,"[[69  8]
 [13 94]]",297.61552810668945,0.0,True,,log_loss,,sqrt,1,2,100,0
rfc,0.8967391304347826,0.8984706881903143,0.9090909090909091,"[[70  7]
 [12 95]]",271.3637351989746,0.0,True,,gini,,sqrt,1,2,100,0
rfc,0.8858695652173914,0.8836630659060565,0.9014084507042254,"[[67 10]
 [11 96]]",416.3784980773926,5.984067916870117,True,,gini,5.0,sqrt,1,2,100,0
rfc,0.8858695652173914,0.8854836752033014,0.9004739336492891,"[[68  9]
 [12 95]]",237.2891902923584,17.70782470703125,True,,gini,8.0,sqrt,1,2,100,0
rfc,0.8804347826086957,0.8789901687097949,0.8962264150943396,"[[67 10]
 [12 95]]",450.3324031829834,16.62278175354004,True,,gini,8.0,sqrt,1,2,200,0
rfc,0.8913043478260869,0.8919771816968078,0.9047619047619048,"[[69  8]
 [12 95]]",722.2878932952881,19.76490020751953,True,,gini,,sqrt,1,2,300,0
rfc,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",476.942777633667,8.012056350708008,True,,gini,,sqrt,1,2,200,0
rfc,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",919.4447994232178,37.73140907287598,True,,gini,,log2,1,2,200,0
rfc,0.8695652173913043,0.8732855929117611,0.883495145631068,"[[69  8]
 [16 91]]",722.1584320068359,1.0540485382080078,True,,gini,,12,1,2,200,0
rfc,0.8695652173913043,0.8732855929117611,0.883495145631068,"[[69  8]
 [16 91]]",907.8426361083984,33.354997634887695,True,,gini,,None,1,2,200,0
rfc,0.8858695652173914,0.8818424566088118,0.9023255813953488,"[[66 11]
 [10 97]]",470.81899642944336,14.452695846557617,True,,gini,,sqrt,3,2,200,0
rfc,0.8804347826086957,0.8789901687097949,0.8962264150943396,"[[67 10]
 [12 95]]",731.2033176422119,16.623735427856445,True,balanced,gini,,sqrt,1,2,200,0
rfc,0.8913043478260869,0.8919771816968078,0.9047619047619048,"[[69  8]
 [12 95]]",488.4483814239502,29.780149459838867,True,,gini,,sqrt,1,2,210,0
rfc,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",500.78415870666504,0.0,True,,gini,,sqrt,1,2,195,0
