model,accuracy,auc,f1_score,cm,training_time(ms),testing_time(ms),C,class_weight,decision_function_shape,degree,gamma,kernel,max_iter,random_state,shrinking,tol
svc,0.875,0.8706760529190436,0.8930232558139535,"[[65 12]
 [11 96]]",25.97808837890625,14.136791229248047,1.0,,ovr,3,scale,rbf,-1,0,True,0.001
svc,0.8532608695652174,0.8574462920257312,0.8682926829268293,"[[68  9]
 [18 89]]",23.269176483154297,23.431062698364258,10.0,,ovr,3,scale,rbf,-1,0,True,0.001
svc,0.7010869565217391,0.6446777521543876,0.7940074906367042,"[[ 23  54]
 [  1 106]]",45.114994049072266,21.744489669799805,0.01,,ovr,3,scale,rbf,-1,0,True,0.001
svc,0.8586956521739131,0.8602985799247481,0.875,"[[67 10]
 [16 91]]",28.603553771972656,13.207197189331055,1.0,balanced,ovr,3,scale,rbf,-1,0,True,0.001
svc,0.875,0.8706760529190436,0.8930232558139535,"[[65 12]
 [11 96]]",27.180910110473633,12.679338455200195,1.0,,ovo,3,scale,rbf,-1,0,True,0.001
svc,0.8478260869565217,0.8527733948294696,0.8627450980392157,"[[68  9]
 [19 88]]",29.79564666748047,0.9977817535400391,1.0,,ovo,3,scale,linear,-1,0,True,0.001
svc,0.8260869565217391,0.8286199781526884,0.8446601941747572,"[[65 12]
 [20 87]]",26.54290199279785,1.9938945770263672,1.0,,ovo,3,scale,poly,-1,0,True,0.001
svc,0.842391304347826,0.8426386697414734,0.861244019138756,"[[65 12]
 [17 90]]",25.454044342041016,2.989530563354492,1.0,,ovo,3,0.1,poly,-1,0,True,0.001
svc,0.7663043478260869,0.7681150625075859,0.7902439024390244,"[[60 17]
 [26 81]]",28.7168025970459,3.7412643432617188,1.0,,ovo,2,0.1,poly,-1,0,True,0.001
svc,0.7663043478260869,0.7681150625075859,0.7902439024390244,"[[60 17]
 [26 81]]",23.29230308532715,12.786388397216797,1.0,,ovo,2,0.1,poly,-1,0,False,0.001
svc,0.8804347826086957,0.8789901687097949,0.8962264150943396,"[[67 10]
 [12 95]]",26.46040916442871,14.915227890014648,1.0,,ovo,2,0.1,rbf,-1,0,False,0.001
svc,0.8804347826086957,0.8789901687097949,0.8962264150943396,"[[67 10]
 [12 95]]",27.42147445678711,11.980056762695312,1.0,,ovo,2,0.1,rbf,-1,0,True,0.001
svc,0.8206521739130435,0.802099769389489,0.8558951965065502,"[[53 24]
 [ 9 98]]",48.57659339904785,16.303062438964844,1.0,,ovo,2,0.5,rbf,-1,0,True,0.001
svc,0.8478260869565217,0.8527733948294696,0.8627450980392157,"[[68  9]
 [19 88]]",24.17612075805664,13.778924942016602,1.0,,ovo,2,0.01,rbf,-1,0,True,0.001
svc,0.8586956521739131,0.8602985799247481,0.875,"[[67 10]
 [16 91]]",29.803752899169922,16.524553298950195,1.0,balanced,ovo,2,0.1,rbf,-1,0,True,0.001
svc,0.8804347826086957,0.8789901687097949,0.8962264150943396,"[[67 10]
 [12 95]]",25.06422996520996,10.168313980102539,1.0,,ovo,2,0.1,rbf,-1,0,True,0.01
svc,0.8043478260869565,0.808107780070397,0.8235294117647058,"[[64 13]
 [23 84]]",22.564172744750977,0.0,1.0,,ovo,2,0.1,sigmoid,-1,0,True,0.01
svc,0.8804347826086957,0.8789901687097949,0.8962264150943396,"[[67 10]
 [12 95]]",23.152589797973633,15.793800354003906,1.0,,ovr,2,0.1,rbf,-1,0,True,0.01
