model,accuracy,auc,f1_score,cm,training_time(ms),testing_time(ms),objective,grow_policy,booster,colsample_bylevel,colsample_bynode,colsample_bytree,early_stopping_rounds,gamma,learning_rate,max_depth,min_child_weight,n_estimators,random_state,reg_alpha,reg_lambda,sampling_method,scale_pos_weight,subsample
XGBClassifier,0.8804347826086957,0.8862726058987741,0.8921568627450981,"[[71  6]
 [16 91]]",40.03548622131348,1.1718273162841797,binary:logistic,,,,,,,,,,,,0,,,,,
XGBClassifier,0.8695652173913043,0.8678237650200267,0.8867924528301887,"[[66 11]
 [13 94]]",49.41821098327637,1.0824203491210938,binary:logistic,,,,,,,,0.01,,,,0,,,,,
XGBClassifier,0.875,0.8743172715135331,0.8909952606635071,"[[67 10]
 [13 94]]",129.80222702026367,1.3277530670166016,binary:logistic,,,,,,,,0.01,,,200.0,0,,,,,
XGBClassifier,0.8586956521739131,0.8566573613302585,0.8773584905660378,"[[65 12]
 [14 93]]",152.5096893310547,1.5447139739990234,binary:logistic,,,,,,,,0.01,,,300.0,0,,,,,
XGBClassifier,0.8641304347826086,0.8613302585265201,0.8826291079812206,"[[65 12]
 [13 94]]",63.12274932861328,1.535177230834961,binary:logistic,,,,,,,,0.01,5.0,,200.0,0,,,,,
XGBClassifier,0.8913043478260869,0.8919771816968078,0.9047619047619048,"[[69  8]
 [12 95]]",116.33944511413574,8.760452270507812,binary:logistic,,,,,,,,0.01,7.0,,200.0,0,,,,,
XGBClassifier,0.8967391304347826,0.8966500788930695,0.909952606635071,"[[69  8]
 [11 96]]",140.31457901000977,1.394510269165039,binary:logistic,,,,,,,,0.01,8.0,,200.0,0,,,,,
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",141.79372787475586,1.4116764068603516,binary:logistic,,,,,,,,0.01,10.0,,200.0,0,,,,,
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",285.5803966522217,1.4536380767822266,binary:logistic,,,,,,,,0.01,12.0,,200.0,0,,,,,
XGBClassifier,0.8478260869565217,0.8436703483432455,0.8691588785046729,"[[63 14]
 [14 93]]",172.85871505737305,1.6388893127441406,binary:logistic,,,,,,,,0.001,12.0,,300.0,0,,,,,
XGBClassifier,0.8695652173913043,0.8678237650200267,0.8867924528301887,"[[66 11]
 [13 94]]",420.19200325012207,1.9812583923339844,binary:logistic,,,,,,,,0.001,12.0,,500.0,0,,,,,
