model,accuracy,auc,f1_score,cm,training_time(ms),testing_time(ms)
Voting (xgb+gbc),0.9021739130434783,0.903143585386576,0.9142857142857143,"[[70  7]
 [11 96]]",485.37755012512207,3.940105438232422
Voting (rfc+gbc),0.9021739130434783,0.903143585386576,0.9142857142857143,"[[70  7]
 [11 96]]",631.73508644104,12.429237365722656
Voting (xgb+rfc),0.907608695652174,0.9078164825828378,0.919431279620853,"[[70  7]
 [10 97]]",368.053674697876,14.972448348999023
Voting (xgb+gbc+rfc),0.8967391304347826,0.8948294695958247,0.9107981220657277,"[[68  9]
 [10 97]]",793.9355373382568,15.076398849487305
Voting (rfc+gbc+svc),0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",665.2898788452148,14.461994171142578
Voting (xgb+gbc+svc),0.8913043478260869,0.8883359631023182,0.9065420560747663,"[[67 10]
 [10 97]]",434.29088592529297,7.31968879699707
stacking (rfc+gbc+svc),0.8804347826086957,0.8771695594125501,0.897196261682243,"[[66 11]
 [11 96]]",2494.2729473114014,17.808198928833008
stacking (rfc+gbc+xgb),0.8967391304347826,0.8948294695958247,0.9107981220657277,"[[68  9]
 [10 97]]",2750.6909370422363,35.861968994140625
stacking (xgb+gbc+svc),0.875,0.8724966622162884,0.892018779342723,"[[66 11]
 [12 95]]",2640.911102294922,7.463216781616211
stacking (rfc+xgb+svc),0.8804347826086957,0.8771695594125501,0.897196261682243,"[[66 11]
 [11 96]]",2285.324811935425,17.98844337463379
stacking (rfc+xgb),0.8967391304347826,0.8966500788930695,0.909952606635071,"[[69  8]
 [11 96]]",2132.2593688964844,18.86749267578125
