model,accuracy,auc,f1_score,cm,training_time(ms),testing_time(ms),threshold
XGBClassifier,0.7934782608695652,0.7787352834081805,0.8303571428571429,"[[53 24]
 [14 93]]",257.2295665740967,0.0,0.1
RandomForestClassifier,0.8315217391304348,0.8387547032406846,0.845771144278607,"[[68  9]
 [22 85]]",290.2369499206543,20.26820182800293,0.1
VotingClassifier,0.8315217391304348,0.8387547032406846,0.845771144278607,"[[68  9]
 [22 85]]",417.8156852722168,15.472650527954102,0.1
XGBClassifier,0.8804347826086957,0.8735283408180604,0.8990825688073395,"[[64 13]
 [ 9 98]]",90.78478813171387,9.042739868164062,0.2
RandomForestClassifier,0.8967391304347826,0.8930088602985798,0.9116279069767442,"[[67 10]
 [ 9 98]]",322.1557140350342,11.203289031982422,0.2
VotingClassifier,0.8913043478260869,0.890156572399563,0.9056603773584906,"[[68  9]
 [11 96]]",420.6585884094238,29.13641929626465,0.2
XGBClassifier,0.8478260869565217,0.8363879111542664,0.8738738738738738,"[[59 18]
 [10 97]]",100.75569152832031,0.0,0.3
RandomForestClassifier,0.875,0.8670348343245539,0.8949771689497716,"[[63 14]
 [ 9 98]]",349.9631881713867,16.56317710876465,0.3
VotingClassifier,0.8641304347826086,0.8595096492292755,0.8837209302325582,"[[64 13]
 [12 95]]",449.83792304992676,33.43701362609863,0.3
XGBClassifier,0.8315217391304348,0.815086782376502,0.8634361233480177,"[[55 22]
 [ 9 98]]",116.14394187927246,17.145156860351562,0.4
RandomForestClassifier,0.8804347826086957,0.8735283408180604,0.8990825688073395,"[[64 13]
 [ 9 98]]",349.7498035430908,16.857147216796875,0.4
VotingClassifier,0.8858695652173914,0.8800218473115669,0.9032258064516129,"[[65 12]
 [ 9 98]]",516.3240432739258,36.90195083618164,0.4
XGBClassifier,0.8586956521739131,0.8493749241412792,0.8818181818181818,"[[61 16]
 [10 97]]",143.02372932434082,0.0,0.5
RandomForestClassifier,0.875,0.8724966622162884,0.892018779342723,"[[66 11]
 [12 95]]",350.3460884094238,16.8149471282959,0.5
VotingClassifier,0.875,0.8724966622162884,0.892018779342723,"[[66 11]
 [12 95]]",515.7902240753174,16.852855682373047,0.5
XGBClassifier,0.875,0.8706760529190436,0.8930232558139535,"[[65 12]
 [11 96]]",156.69631958007812,0.0,0.6
RandomForestClassifier,0.8804347826086957,0.8771695594125501,0.897196261682243,"[[66 11]
 [11 96]]",382.22217559814453,0.8189678192138672,0.6
VotingClassifier,0.875,0.8743172715135331,0.8909952606635071,"[[67 10]
 [13 94]]",516.7050361633301,33.0808162689209,0.6
XGBClassifier,0.8804347826086957,0.8789901687097949,0.8962264150943396,"[[67 10]
 [12 95]]",166.7623519897461,0.0,0.7
RandomForestClassifier,0.8858695652173914,0.8854836752033014,0.9004739336492891,"[[68  9]
 [12 95]]",388.477087020874,10.822772979736328,0.7
VotingClassifier,0.8804347826086957,0.8808107780070396,0.8952380952380953,"[[68  9]
 [13 94]]",550.5175590515137,32.72128105163574,0.7
XGBClassifier,0.8967391304347826,0.8984706881903143,0.9090909090909091,"[[70  7]
 [12 95]]",183.06684494018555,0.0,0.8
RandomForestClassifier,0.8913043478260869,0.890156572399563,0.9056603773584906,"[[68  9]
 [11 96]]",432.9521656036377,16.51763916015625,0.8
VotingClassifier,0.9021739130434783,0.9049641946838208,0.9134615384615384,"[[71  6]
 [12 95]]",584.092378616333,32.69219398498535,0.8
XGBClassifier,0.875,0.8743172715135331,0.8909952606635071,"[[67 10]
 [13 94]]",166.60428047180176,0.0,0.9
RandomForestClassifier,0.8858695652173914,0.8836630659060565,0.9014084507042254,"[[67 10]
 [11 96]]",497.14183807373047,18.929243087768555,0.9
VotingClassifier,0.8858695652173914,0.8873042845005461,0.8995215311004785,"[[69  8]
 [13 94]]",630.042314529419,33.000946044921875,0.9
XGBClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",221.00281715393066,6.9828033447265625,1.0
RandomForestClassifier,0.9021739130434783,0.9013229760893312,0.9150943396226415,"[[69  8]
 [10 97]]",605.2207946777344,0.0,1.0
VotingClassifier,0.907608695652174,0.9078164825828378,0.919431279620853,"[[70  7]
 [10 97]]",632.8897476196289,40.798187255859375,1.0
